Column,Mean,Median,Mode,Std_Dev,Variance,Q1,Q2,Q3,IQR,Min,Max,Range,Skewness,Kurtosis
Close,1699.018619427811,1653.8400000000001,129.07,1296.9264677966664,1682018.2628715376,355.2425,1653.8400000000001,2722.07,2366.8275000000003,84.31,4831.35,4747.04,0.36117918411722233,-1.0438356007665086
High,1744.3677178975383,1687.2350000000001,229.86,1330.8134583710366,1771064.460981479,367.365,1687.2350000000001,2797.7425,2430.3774999999996,85.34,4953.73,4868.389999999999,0.3604180762805038,-1.0475410392488187
Low,1648.2987192282103,1622.9099999999999,111.74,1260.400074958766,1588608.348956063,348.135,1622.9099999999999,2622.1925,2274.0575,82.83,4718.04,4635.21,0.3646185561495051,-1.037413224947418
Open,1698.452405189621,1652.9650000000001,107.63,1297.299811622219,1682986.8012350453,354.15749999999997,1652.9650000000001,2721.9275000000002,2367.7700000000004,84.28,4831.09,4746.81,0.3628127747372543,-1.042214194437748
Volume,15005101859.685629,12166684523.0,621732992.0,12292076322.320696,1.510951403137571e+20,6326656530.25,12166684523.0,20043340382.0,13716683851.75,621732992.0,97736621123.0,97114888131.0,1.649022280328132,3.872129391485017
Daily_Return_Pct,0.1695330449251248,0.0632,-5.0779,4.490309285531444,20.162877479729907,-1.88,0.0632,2.1622,4.042199999999999,-42.3462,26.4569,68.8031,-0.10126886160510179,6.1740626746262155
Log_Return,0.0006757943427620632,0.000632,-0.046408,0.04536226124398354,0.0020577347451674116,-0.018979,0.000632,0.021392,0.040371000000000004,-0.550714,0.234731,0.7854450000000001,-0.7824892058292835,10.637613516176806
Price_Range,96.06899866932802,62.985,5.1,106.18337659690175,11274.909465519464,18.375,62.985,138.685,120.31,1.22,1485.48,1484.26,2.7534936020746037,16.64746982430433
Body_Size,49.179407850964736,21.235,3.34,70.20207467424102,4928.331288567712,5.8525,21.235,65.0025,59.15,0.0,921.98,921.98,3.183352973688256,17.253271624043705
Upper_Shadow,21.042501663339987,9.675,0.0,30.059174584497963,903.5539767013283,2.09,9.675,28.2275,26.1375,0.0,321.22,321.22,3.0172134630402057,13.940612428315557
Lower_Shadow,25.847089155023284,10.855,0.0,42.52173217267958,1808.0977069650937,2.5524999999999998,10.855,32.92,30.367500000000003,0.0,708.8,708.8,5.1556660653134925,48.79208113534575
MA_7,1699.3680100000001,1657.055,123.82,1293.9690909580975,1674356.0083549249,356.9625,1657.055,2692.4399999999996,2335.4774999999995,87.4,4694.09,4606.6900000000005,0.3502114568614343,-1.0660544026143866
MA_14,1699.5432074841297,1646.15,114.05,1290.7956414988014,1666153.3881123022,363.59,1646.15,2715.4,2351.81,91.55,4626.7,4535.15,0.34008173492324517,-1.0834632107674342
MA_21,1699.4600301406563,1653.7199999999998,131.44,1287.5241983728868,1657718.5613957448,362.5025,1653.7199999999998,2749.335,2386.8325,98.2,4519.91,4421.71,0.3306953263514786,-1.0971338010204215
MA_50,1698.5698275279,1660.7,124.9,1273.9415075937225,1622926.9647701664,368.06,1660.7,2812.57,2444.51,118.23,4407.52,4289.290000000001,0.2910657536601083,-1.1526264080061903
MA_100,1694.2865221878226,1712.16,157.74,1250.8905800649238,1564727.2432951615,335.63,1712.16,2768.53,2432.9,120.96,4198.25,4077.29,0.2114786246707854,-1.2743953696902228
MA_200,1673.8221553259707,1777.46,172.46,1192.4743370232193,1421995.0444589665,313.945,1777.46,2815.6949999999997,2501.7499999999995,143.35,3671.87,3528.52,0.04840728718205649,-1.4691356298941063
EMA_12,1694.3637225548905,1645.08,120.64,1289.3173317493897,1662339.1819493661,357.35249999999996,1645.08,2735.7275,2378.375,92.6,4597.79,4505.19,0.3401796675537383,-1.0912162974465478
EMA_26,1687.9898003992016,1645.415,123.85,1279.716217503575,1637673.5973416574,360.595,1645.415,2795.5150000000003,2434.92,107.81,4444.1,4336.29,0.3180574048169527,-1.1362164016075835
MACD,6.373922155688623,0.51,8.58,95.15644558301138,9054.749135992606,-31.5225,0.51,37.2775,68.80000000000001,-323.65,454.41,778.06,0.4879286284632995,2.2193379432134863
Signal_Line,6.442384364604125,0.4659,2.0946,90.03092609621801,8105.56765374267,-28.304675000000003,0.4659,35.323875,63.628550000000004,-288.6897,391.7199,680.4096,0.4337018134359479,1.888701525167436
MACD_Histogram,-0.06846220891550217,0.44489999999999996,-15.5892,27.49217382019247,755.8196213596763,-8.7649,0.44489999999999996,9.022874999999999,17.787775,-227.9974,104.3579,332.3553,-0.7356967647042911,7.076208123777983
RSI_14,51.38985294117647,50.085,45.54,13.631614347081348,185.82090970755402,41.7075,50.085,60.56,18.8525,15.69,90.33,74.64,0.26646490636519105,-0.2217771783318172
BB_Mid,1699.4850251088046,1649.79,111.71,1287.991367939278,1658921.7638860927,362.51,1649.79,2741.0200000000004,2378.51,97.27,4531.54,4434.2699999999995,0.3319983044216722,-1.0953514415965397
BB_Std,114.22258453297623,89.42,9.23,105.96041815676708,11227.610215956935,26.450000000000003,89.42,171.79000000000002,145.34000000000003,2.5,670.95,668.45,1.3929162881262083,2.5965873679559213
BB_Upper,1927.930194174757,1879.22,166.15,1449.9574026137466,2102376.4693944026,417.45500000000004,1879.22,3196.1099999999997,2778.6549999999997,118.07,5022.1,4904.030000000001,0.32181601571840784,-1.1369451629672405
BB_Lower,1471.0398560428523,1486.98,178.26,1142.4919868889401,1305287.940105438,305.505,1486.98,2358.5150000000003,2053.01,64.66,4191.68,4127.02,0.39466921419075335,-0.9720302219425014
BB_Width,456.8903381319049,357.68,36.92,423.8416726270683,179641.76345531095,105.80000000000001,357.68,687.1600000000001,581.3600000000001,10.0,2683.8,2673.8,1.3929162881262083,2.5965873679559213
Volume_MA_20,15004914415.801474,13798758959.0,1118925837.0,10754981715.28201,1.1566963169605034e+20,6714600023.0,13798758959.0,20091062559.0,13376462536.0,1118925837.0,54730579179.0,53611653342.0,1.0629477526215971,0.9660911047146152
Volume_Change_Pct,5.014565723793678,-0.52,-21.49,35.08086841116462,1230.667328481448,-14.68,-0.52,17.04,31.72,-72.69,282.7,355.39,2.056618200405389,8.709367746690585
Volatility_30d,4.170590221774194,3.9734499999999997,2.6257,1.6135928955720178,2.6036820326404886,3.0751999999999997,3.9734499999999997,4.9571,1.8819,0.8059,11.023,10.2171,1.2486309150359582,2.4325803614010297
Cumulative_Max,3333.087677977378,4812.09,4812.09,1665.0022945738256,2772232.640936104,1396.42,4812.09,4812.09,3415.67,320.88,4831.35,4510.47,-0.32101654923245126,-1.8276422765642866
Drawdown_Pct,-54.27647055888224,-59.75315,0.0,26.4023431997185,697.0837264357218,-75.575925,-59.75315,-34.813900000000004,40.762024999999994,-93.9624,0.0,93.9624,0.3929269694557206,-0.9023373073604053
